location,division_rank
USA,Second Order Division
Mine Michael,namedPlace
Weiler near Lahr,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Bartow,Second Order Division
Florida,First Order Division
USA,Second Order Division
Reichenbach,namedPlace
Lahr,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Weg nach Freichi,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Cunha Baixa,namedPlace
Mangualde,Second Order Division
Portugal,Country
Kearsarge Lode,namedPlace
Calumet,Second Order Division
Michigan,First Order Division
USA,Second Order Division
Red Ball Mine,namedPlace
Calhoun County,namedPlace
Alabama,First Order Division
USA,Second Order Division
Duff Quarry,namedPlace
Huntsville,namedPlace
Logan County,namedPlace
Ohio,First Order Division
USA,Second Order Division
Largentière,namedPlace
Ardèche,First Order Division
France,Country
Salanfe,namedPlace
Evionnaz,namedPlace
Valais,First Order Division
Switzerland,Country
Quarry Lausen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Mundo Nuevo,namedPlace
Sanchez Carrion,Second Order Division
Peru,Country
Blatt,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Red Cloud Mine,namedPlace
Yuma County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Palabora Open Pit,namedPlace
Phalaborwa,namedPlace
Limpopo Province,namedPlace
South Africa,Country
Sontga Gronda,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Hornbühl,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Spissen,namedPlace
Lärcheltini (Lercheltini),namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Calumet,Second Order Division
Houghton County,namedPlace
Michigan,First Order Division
USA,Second Order Division
50 m unterhalb Steg in Schöntal,namedPlace
Füllinsdorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Mine Pfingstsegen,namedPlace
Schönau-Aitern,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Löruns,namedPlace
Vorarlberg,First Order Division
Austria,Country
Schlema,namedPlace
Erzgebirgskreis,Second Order Division
Saxony,namedPlace
Germany,Country
Wasson Bluff,namedPlace
Parrsboro,namedPlace
Nova Scotia,First Order Division
Canada,Country
Isle Royale Mine,namedPlace
Houghton,Second Order Division
Houghton County,namedPlace
Michigan,First Order Division
USA,Second Order Division
Val Casatscha,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Gang II,namedPlace
Schauinsland,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Anatasloch,namedPlace
Grieswies,namedPlace
Salzburg,First Order Division
Austria,Country
Tucker-Beckwood Quarry,namedPlace
Lancaster,Second Order Division
Lafayette County,namedPlace
Wisconsin,First Order Division
USA,Second Order Division
Zugangsstollen zur alten Mine Lengenbach,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Matra,namedPlace
Korsika,namedPlace
France,Country
Penfield Quarry,namedPlace
Penfield,namedPlace
Monroe County,namedPlace
New York,First Order Division
USA,Second Order Division
Juanita Mine,namedPlace
Socorro County,namedPlace
New Mexico,First Order Division
USA,Second Order Division
Hinterohlsbach,namedPlace
Ohlsbach,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Mine Käfersteige,namedPlace
Pforzheim,Second Order Division
Karlsruhe,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Hopes Nose,namedPlace
Devonshire,First Order Division
England,First Order Division
Pflügelhof,namedPlace
Malta,Country
Kärnten,First Order Division
Austria,Country
Mine Silberbrünnle,namedPlace
Gengenbach,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Ottenhöfen,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Filisur,namedPlace
Grisons,namedPlace
Switzerland,Country
Gotthard-Strassentunnel ca. 5200 m ab NP,namedPlace
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Swan Creek,namedPlace
Nova Scotia,First Order Division
Canada,Country
Butte County,namedPlace
South Dakota,First Order Division
USA,Second Order Division
Niedermendig,namedPlace
Mendig,namedPlace
Mayen-Koblenz,Second Order Division
Rhineland-Palatinate,namedPlace
Germany,Country
Ballon d'Alsace,namedPlace
Sewen,namedPlace
Haut-Rhin,First Order Division
France,Country
Ranspach,namedPlace
Haut-Rhin,First Order Division
France,Country
Wurtenkees,namedPlace
Innerfragant,namedPlace
Kärnten,First Order Division
Austria,Country
Reichenbach,namedPlace
Lautertal (Odenwald),namedPlace
Darmstadt,Second Order Division
Hesse,namedPlace
Germany,Country
Ratzi,namedPlace
Spiringen,namedPlace
Uri,First Order Division
Switzerland,Country
Mine Kropfmühl AG,namedPlace
Hauzenberg,namedPlace
Passau,Second Order Division
Bavaria,namedPlace
Germany,Country
Tanzfleck near Freihung,namedPlace
Amberg-Suzbach,namedPlace
Bavaria,namedPlace
Germany,Country
Le Pale / Buffaure,namedPlace
Fassatal,namedPlace
Trento,First Order Division
Trentino-Alto Adige,First Order Division
Italy,Country
Bruch Saunstein near Schönberg,namedPlace
Niederbayern,namedPlace
Bavaria,namedPlace
Germany,Country
Mine Tiessenhäusl,namedPlace
Hauzenberg,namedPlace
Passau,Second Order Division
Bavaria,namedPlace
Germany,Country
Mine Mola near Reus,namedPlace
Katalonien,namedPlace
Spain,Country
Mina Sta. Teresa,namedPlace
Hiendelaencina,namedPlace
Guadalajara,First Order Division
Spain,Country
Mine La Celia near Jumilla,namedPlace
Murcia,First Order Division
Spain,Country
Valdecebro near Teruel,namedPlace
Teruel,First Order Division
Spain,Country
4 Meilen nördl. v. Black River Falls,namedPlace
Jackson County,namedPlace
Wisconsin,First Order Division
USA,Second Order Division
Sella (Alpe della Sella),namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Quarry Casa Collina,namedPlace
Pitigliano,namedPlace
Grosseto,First Order Division
Italy,Country
Campiano,namedPlace
Grosseto,First Order Division
Toscana,First Order Division
Italy,Country
Berg Nerpakh (N'orkpakhk),namedPlace
Khibiny (Chibiny),namedPlace
Kola-Halbinsel,namedPlace
Oblast Murmansk,namedPlace
Russia,namedPlace
Jalerys,namedPlace
Saône-et-Loire,First Order Division
France,Country
Trimouns,namedPlace
Luzenac,namedPlace
Ariège,First Order Division
France,Country
Le Bousquet,namedPlace
Ste. Geneviève,namedPlace
France,Country
Vallée de la Punaruu,namedPlace
Tahiti,namedPlace
Roc de Courlande,namedPlace
Puy de Dôme,namedPlace
France,Country
Garnet Hill,namedPlace
Ely,namedPlace
White Pine County,namedPlace
Nevada,First Order Division
USA,Second Order Division
Violet Claim,namedPlace
Wah Wah Mountains,namedPlace
Beaver County,namedPlace
Utah,First Order Division
USA,Second Order Division
St-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Drôme,First Order Division
Rhone-Alpes,First Order Division
France,Country
Brenk,namedPlace
Ahweiler,namedPlace
Rhineland-Palatinate,namedPlace
Germany,Country
Cartersville,namedPlace
Bartow County,namedPlace
Georgia,Country
USA,Second Order Division
Wausau Pluton (# 106 h),namedPlace
Rib Mountain,namedPlace
Marathon County,namedPlace
Wisconsin,First Order Division
USA,Second Order Division
Trinity County,namedPlace
California,First Order Division
USA,Second Order Division
Wasserstollen Chummibort,namedPlace
Grengiols,namedPlace
Valais,First Order Division
Switzerland,Country
Schattig Wichel,namedPlace
Gurtnellen,namedPlace
Uri,First Order Division
Switzerland,Country
Feuillaz,namedPlace
Brusson,namedPlace
Valle d'Ayas,namedPlace
Italy,Country
Lohningbruch,namedPlace
Rauris,namedPlace
Salzburg,First Order Division
Austria,Country
Tälli,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Minengelände La Union,namedPlace
Cartagena,namedPlace
Murcia,First Order Division
Spain,Country
Furka,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Basòdino,namedPlace
Bignasco,namedPlace
Ticino,First Order Division
Switzerland,Country
Serifos,namedPlace
Kykladen,namedPlace
Greece,Country
Quarry Hannebacher Ley,namedPlace
Spessart,namedPlace
Ahrweiler,Second Order Division
Rhineland-Palatinate,namedPlace
Germany,Country
Granite Mountain,namedPlace
Little Rock,namedPlace
Pulaski County,namedPlace
Arkansas,First Order Division
USA,Second Order Division
Pugh Quarry,namedPlace
Custar,namedPlace
Wood County,namedPlace
Ohio,First Order Division
USA,Second Order Division
Mendig,namedPlace
Mayen-Koblenz,Second Order Division
Rhineland-Palatinate,namedPlace
Germany,Country
Tepetates,namedPlace
San Luis Potosi,First Order Division
Mexico,Country
Concha,namedPlace
Elba,namedPlace
Livorno,First Order Division
Italy,Country
Ivigtut,namedPlace
Kitaa,namedPlace
Greenland,Country
Mendiger Bimsfeld,namedPlace
Mendig,namedPlace
Mayen-Koblenz,Second Order Division
Rhineland-Palatinate,namedPlace
Germany,Country
Ri Formigavio,namedPlace
Calpiogna,namedPlace
Ticino,First Order Division
Switzerland,Country
Gilman,namedPlace
Eagle County,namedPlace
Colorado,First Order Division
USA,Second Order Division
Erl (Alp Erl),namedPlace
Mund,namedPlace
Valais,First Order Division
Switzerland,Country
Furguesa,namedPlace
Chile,Country
Kappler Sohle,namedPlace
Gang VI,namedPlace
Schauinsland,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Yellville,namedPlace
Marion County,namedPlace
Arkansas,First Order Division
USA,Second Order Division
Karlsstollen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Schattig Wichel,namedPlace
Tujetsch,namedPlace
Grisons Switzerland,namedPlace
Alicante,First Order Division
Valencia,First Order Division
Spain,Country
Mine Segen Gottes,namedPlace
Schnellingen,namedPlace
Haslach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Bernau,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Froland,Second Order Division
Arendal,Second Order Division
Aust-Agder,First Order Division
Norway,Country
Saflischmatte,namedPlace
Termen,namedPlace
Valais,First Order Division
Switzerland,Country
Winfield,namedPlace
Union County,namedPlace
Pennsylvania,First Order Division
USA,Second Order Division
Chief Mine,namedPlace
Pima County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Mine Salanfe,namedPlace
Evionnaz,namedPlace
Valais,First Order Division
Switzerland,Country
Oberaletsch,namedPlace
Naters,namedPlace
Valais,First Order Division
Switzerland,Country
Stettin,namedPlace
Marathon County,namedPlace
Wisconsin,First Order Division
USA,Second Order Division
M'sesa,namedPlace
Katanga (Shaba),First Order Division
Demokratische Republik Congo (Zaire),namedPlace
Sehringen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Ri d' Albinasca,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Wausau Pluton (# 156 c),namedPlace
Rib Mountain,namedPlace
Marathon County,namedPlace
Wisconsin,First Order Division
USA,Second Order Division
Stravinice,namedPlace
Tschechoslowakei,namedPlace
Cartagena,namedPlace
Murica,namedPlace
Spain,Country
Diabasbruch,namedPlace
Saalfelden,namedPlace
Salzburg,First Order Division
Austria,Country
Kabwe,Second Order Division
Zaire Zambia,namedPlace
Stockeralm,namedPlace
Mallnitz,namedPlace
Austria,Country
Manassas,Second Order Division
Prince William County,namedPlace
Virginia,First Order Division
USA,Second Order Division
Mogok,namedPlace
Mandalay,First Order Division
Burma (Myanmar),namedPlace
Lambert,namedPlace
Giromagny,namedPlace
Territoire de Belfort,First Order Division
France,Country
Kniebeissgraben,namedPlace
Böckstein,namedPlace
Salzburg,First Order Division
Austria,Country
Mercer County,namedPlace
Ohio,First Order Division
USA,Second Order Division
Wausau Pluton (# 894 a),namedPlace
Rib Mountain,namedPlace
Marathon County,namedPlace
Wisconsin,First Order Division
USA,Second Order Division
Jensen's Quarry,namedPlace
Crestmore,namedPlace
Riverside County,namedPlace
California,First Order Division
USA,Second Order Division
Val Gava,namedPlace
Genova,First Order Division
Italy,Country
Trift,namedPlace
Staldental,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Topaz Mountains,namedPlace
Juab County,namedPlace
Utah,First Order Division
USA,Second Order Division
Katie Bell Claime,namedPlace
King County,namedPlace
Washington,First Order Division
USA,Second Order Division
Oltschialp,namedPlace
Brienz,namedPlace
Bern,First Order Division
Switzerland,Country
Cucin,namedPlace
Utah,First Order Division
USA,Second Order Division
Stollenbau near Kandersteg,namedPlace
Bern,First Order Division
Switzerland,Country
Mine Le Cetine (Spoil heap),namedPlace
Siena,First Order Division
Toskana,namedPlace
Italy,Country
Mine Pereta,namedPlace
Scansano,namedPlace
Grosseto,First Order Division
Italy,Country
Mount Lyndhurst,namedPlace
Flinders Ranges,Second Order Division
South Australia,First Order Division
Australia,Country
Pinnacles Mine,namedPlace
Flinders Ranges,Second Order Division
South Australia,First Order Division
Australia,Country
Espirito Santo,First Order Division
Southeast Region,namedPlace
Brazil,Country
Coyote Front Range,namedPlace
Inyo County,namedPlace
California,First Order Division
USA,Second Order Division
Anderson,Second Order Division
Madison County,namedPlace
Indiana,First Order Division
USA,Second Order Division
Route 30,namedPlace
Long Lake,namedPlace
Hamilton County,namedPlace
New York,First Order Division
USA,Second Order Division
Long Lake,namedPlace
Hamilton County,namedPlace
New York,First Order Division
USA,Second Order Division
Panasqueira,namedPlace
Castelo Branco,First Order Division
Portugal,Country
Washington Camp/Duquesne,namedPlace
Santa Cruz County,namedPlace
Arizona,First Order Division
USA,Second Order Division
in Cave ... (unleserlich),namedPlace
Furkapass,namedPlace
Realp,namedPlace
Uri,First Order Division
Switzerland,Country
Mina Victoria,namedPlace
Navajun,namedPlace
La Rioja,First Order Division
Spain,Country
Eastgate Quarry,namedPlace
Weardale,namedPlace
Durham,First Order Division
England,First Order Division
Lake Jasco,namedPlace
Mexico,Country
südl. Madagascar,namedPlace
Cerro Granate near Tierra Amarilla,namedPlace
13 km südwestlich von Copiapo,namedPlace
Chile,Country
zwischen Dorowa und Ropp District,namedPlace
Nigeria,Country
Autobahnbaustelle N2 oberhalb Diegten,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Pötzberg,namedPlace
Kusel,Second Order Division
Rheinland Pfalz,namedPlace
Germany,Country
Road tunnel Gotthard,namedPlace
Uri/Ticino,namedPlace
Switzerland,Country
Amertal,namedPlace
Salzburg,First Order Division
Austria,Country
Sestri Levante,namedPlace
Genova,First Order Division
Liguria,First Order Division
Italy,Country
Rock Candy Mountain,namedPlace
Thurston County,namedPlace
Washington,First Order Division
USA,Second Order Division
Fiddlers ridge,namedPlace
Hot Springs County,namedPlace
Arkansas,First Order Division
USA,Second Order Division
ehem. Kupferwerke Heddernheim,namedPlace
Frankfurt am Main,Second Order Division
Hesse,namedPlace
Germany,Country
Leadville,namedPlace
Lake County,namedPlace
Colorado,First Order Division
USA,Second Order Division
Big Chief Pegmatite,namedPlace
Glendale,namedPlace
Pennington County,namedPlace
South Dakota,First Order Division
Crag-na huillar Quarry,namedPlace
County Antrim,namedPlace
Nordirland,namedPlace
Badberg,namedPlace
Schelingen,namedPlace
Kaiserstuhl,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Nonnenmattweiher,namedPlace
Neuenweg,namedPlace
Kleines Wiesental,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Håkansboda,namedPlace
Lindesberg,Second Order Division
Örebro,First Order Division
Sweden,Country
Horseshoe Dam,namedPlace
Maricopa County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Weg von Imfeld nach Freichi,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Haupentalscharte,namedPlace
Pfitsch,namedPlace
Trentino-Alto Adige,First Order Division
Italy,Country
Mine Gottes Segen near Schnellingen,namedPlace
Haslach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Custer County,namedPlace
South Dakota,First Order Division
USA,Second Order Division
Eagle River,namedPlace
Keweenaw County,namedPlace
Michigan,First Order Division
USA,Second Order Division
Kimzey Quarry,namedPlace
Magnet Cove,namedPlace
Hot Springs County,namedPlace
Arkansas,First Order Division
USA,Second Order Division
Herzog-Julius-Hütte,namedPlace
Astfeld,namedPlace
Goslar,Second Order Division
Lower Saxony,namedPlace
Germany,Country
Empirius Mine,namedPlace
Creede Mineral County,namedPlace
Colorado,First Order Division
USA,Second Order Division
Dan Patch Pegmatite,namedPlace
Keystone,namedPlace
Pennington County,namedPlace
South Dakota,First Order Division
USA,Second Order Division
White Elephant Pegmatite,namedPlace
Ciciero Peak,namedPlace
Piute County,namedPlace
South Dakota,First Order Division
USA,Second Order Division
Rosia Montana (Verespatak),Second Order Division
Alba,First Order Division
Romania,Country
Ocna de Fier (Eisenstein),Second Order Division
Banat,namedPlace
Caras-Severin,First Order Division
Romania,Country
Ilfeld,namedPlace
Nordhausen,Second Order Division
Thuringia,namedPlace
Germany,Country
Graves Mountain,namedPlace
Lincoln County,namedPlace
Georgia,Country
USA,Second Order Division
Georgetown,Second Order Division
Fairfield County,namedPlace
Connecticut,First Order Division
USA,Second Order Division
Abraumhalde Gotthard-Strassentunnel South,namedPlace
Airolo,namedPlace
Switzerland,Country
American Tunnel Mine (Gold King Mine),namedPlace
Howardsville,namedPlace
San Juan County,namedPlace
Colorado,First Order Division
USA,Second Order Division
Galena,namedPlace
Lawrence County,namedPlace
South Dakota,First Order Division
USA,Second Order Division
Renison Bell,namedPlace
Dundas,Second Order Division
Tasmania,First Order Division
Australia,Country
Don Hill Cutting,namedPlace
Tasmania,First Order Division
Australia,Country
Mine Friedrich August,namedPlace
Dachsberg,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Globe Mine,namedPlace
Gila County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Rotlaui-Tobel,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Nugget Fraction Mine,namedPlace
Silver Reef Mountains,namedPlace
Pinal County,namedPlace
California,First Order Division
USA,Second Order Division
Kiental,namedPlace
Reichenbach im Kandertal,namedPlace
Bern,First Order Division
Switzerland,Country
Alpe Robiei,namedPlace
Cama,namedPlace
Grisons,namedPlace
Switzerland,Country
Mine La Union,namedPlace
Cartagena,namedPlace
Murcia,First Order Division
Spain,Country
Ufeln,namedPlace
Norway,Country
Oberscheld,namedPlace
Dillenburg,namedPlace
Lahn-Dill-Kreis,Second Order Division
Hesse,namedPlace
Germany,Country
Männlisloch,namedPlace
Strasse Liestal-Arisdorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Ruine Sponeck,namedPlace
Kaiserstuhl,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
hinteres Val Bedretto,namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
Deieren,namedPlace
Realp,namedPlace
Uri,First Order Division
Switzerland,Country
Stbr. Troesch,namedPlace
an Strasse zwischen Ziefen und Seewen,namedPlace
Solothurn/Basel-Landschaft,namedPlace
Switzerland,Country
Fischbach an der Nahe,namedPlace
Idar-Oberstein,namedPlace
Birkenfeld,Second Order Division
Rhineland-Palatinate,namedPlace
Germany,Country
Moräne Findelgletscher (Findelengletscher),namedPlace
Zermatt,namedPlace
Valais,First Order Division
Switzerland,Country
oberer Seinbruch,namedPlace
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Flat Rock Quarry,namedPlace
Seneca County,namedPlace
Ohio,First Order Division
USA,Second Order Division
Almaden,namedPlace
Morocco,Country
Orberg,namedPlace
Badberg,namedPlace
Schelingen,namedPlace
Kaiserstuhl,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Ernensbach,namedPlace
Vogesen,namedPlace
France,Country
Glomsrudkollen,namedPlace
Amot,Second Order Division
Buskerud,First Order Division
Norway,Country
Sandefjord,Second Order Division
Vestfold,First Order Division
Norway,Country
Pleasant Ridge,namedPlace
Jasper County,namedPlace
Indiana,First Order Division
USA,Second Order Division
Surmin,namedPlace
Filisur,namedPlace
Grisons,namedPlace
Switzerland,Country
Calumet Mine,namedPlace
Chaffee County,namedPlace
Colorado,First Order Division
USA,Second Order Division
Silbermine Calanda,namedPlace
Felsberg,namedPlace
Grisons,namedPlace
Switzerland,Country
Söllnkar (Söllenkar,namedPlace
) Krimml,namedPlace
Salzburg,First Order Division
Austria,Country
Aurilla de Amagra,namedPlace
östl. Fortaleza,namedPlace
Gomera,namedPlace
Kanarische Inseln,namedPlace
Spain,Country
Eagle Picher Mine,namedPlace
Naica,namedPlace
Chihuahua,First Order Division
Mexico,Country
Guanajato,namedPlace
Mexico,Country
Franklin,Second Order Division
New Jersey USA,namedPlace
Parker,Second Order Division
New Jersey,First Order Division
USA,Second Order Division
La Sarraz,namedPlace
Vaud,First Order Division
Switzerland,Country
Parker Franklin,namedPlace
New Jersey,First Order Division
USA,Second Order Division
Mass B Mine,namedPlace
Houghton County,namedPlace
Michigan,First Order Division
USA,Second Order Division
Kola-Halbinsel,namedPlace
Oblast Murmansk,namedPlace
Russia,namedPlace
Ruschitza,namedPlace
Subpolar-Ural,namedPlace
ural,namedPlace
Russia,namedPlace
Galérie de recherche de fluorine,namedPlace
Mont Chemin,namedPlace
Vollèges,namedPlace
Valais,First Order Division
Switzerland,Country
Mina Chuquicamata,namedPlace
Calama,namedPlace
Antofagasta,First Order Division
Chile,Country
Quarry Rotzloch,namedPlace
Stansstad,namedPlace
Nidwalden,First Order Division
Switzerland,Country
Jandia,namedPlace
Fuertaventura,namedPlace
Kanarische Inseln,namedPlace
Spain,Country
Summitville,namedPlace
Rio Grande County,namedPlace
Colorado,First Order Division
USA,Second Order Division
Teruel,First Order Division
Teruel,First Order Division
Spain,Country
Lakabufa,namedPlace
Solheimajokull,namedPlace
Myrdalsjokull,namedPlace
Iceland,Country
Hiddenite,namedPlace
Alexander County,namedPlace
North Carolina,First Order Division
USA,Second Order Division
Copper Queen Mine,namedPlace
Cochise County,namedPlace
Arizona,First Order Division
USA,Second Order Division
Mine Anna I,namedPlace
Alsdorf,namedPlace
Aachen,namedPlace
North Rhine-Westphalia,namedPlace
Germany,Country
Bernburg,namedPlace
Salzlandkreis,Second Order Division
Saxony-Anhalt,namedPlace
Germany,Country
Whim Creek,namedPlace
Western Australia,First Order Division
Australia,Country
J.C. Holms Claim,namedPlace
Arizona USA,namedPlace
Kolwezi,Second Order Division
Zaire,First Order Division
Mumbai (Bombay),namedPlace
Maharashtra,First Order Division
India,Country
Wittenwassertal,namedPlace
Realp,namedPlace
Uri,First Order Division
Switzerland,Country
Haidberg,namedPlace
Zell,namedPlace
Fichtelgebirge,namedPlace
Germany,Country
East Grants Ridge,namedPlace
Cibola County,namedPlace
New Mexico USA,namedPlace
Steinatal near Tiengen Waldshut,namedPlace
Fara Vicentino,namedPlace
Vicenza,First Order Division
Veneto,First Order Division
Italy,Country
Mulford Quarry,namedPlace
Mount Carroll,namedPlace
Carroll County,namedPlace
Illinois,First Order Division
USA,Second Order Division
Montroc,namedPlace
Tarn,First Order Division
France,Country
Quarry am Gaulsberg,namedPlace
Ortenberg,namedPlace
Wetteraukreis,Second Order Division
Hesse,namedPlace
Germany,Country
Irhtem (Ightem),namedPlace
Bou Azzer,namedPlace
Ouarzazate,First Order Division
Morocco,Country
Spoil heap der Mine Laurweg,namedPlace
Kohlscheid,namedPlace
Herzogenrath,namedPlace
Aachen,namedPlace
Nordrhein-Wsetfalen,namedPlace
Germany,Country
Goldmine Gondo,namedPlace
Valais,First Order Division
Switzerland,Country
800 m Sohle,namedPlace
Zeche Zollverein,namedPlace
Essen,Second Order Division
North Rhine-Westphalia,namedPlace
Germany,Country
Mine Rotläufchen,namedPlace
Waldgirmes,namedPlace
Lahnau,namedPlace
Giessen,Second Order Division
Hesse,namedPlace
Germany,Country
Blanchard Mine,namedPlace
Bigham,namedPlace
Socorro County,namedPlace
New Mexico,First Order Division
USA,Second Order Division
Grab LV,namedPlace
Predigerkirche,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Curaglia,namedPlace
Medel (Lucmagn),namedPlace
Grisons,namedPlace
Switzerland,Country
Gipsmatt near Bärschwil,namedPlace
Solothurn,First Order Division
Switzerland,Country
Burra,namedPlace
South Australia,First Order Division
Australia,Country
Gotthard Road tunnel,namedPlace
Luck Quarry,namedPlace
Leesburg,namedPlace
Loudoun County,namedPlace
Virginia,First Order Division
USA,Second Order Division
Woodbury,Second Order Division
Litchfield County,namedPlace
Connecticut,First Order Division
USA,Second Order Division
Müleberg,namedPlace
Nunningen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Ueken,namedPlace
Aargau,First Order Division
Switzerland,Country
beim State College,namedPlace
Centre County,namedPlace
Pennsylvania,First Order Division
USA,Second Order Division
Strassenbau S Segnas,namedPlace
Disentis/Mustér,namedPlace
Grisons,namedPlace
Switzerland,Country
Polk County,namedPlace
Arkansas,First Order Division
USA,Second Order Division
Road tunnel Eggflue,namedPlace
Grellingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Eiken,namedPlace
Aargau,First Order Division
Switzerland,Country
Moulins,First Order Division
Valais,First Order Division
Switzerland,Country
Glacier du Miage (Miage-Gletscher),namedPlace
Montblanc,namedPlace
France,Country
Einsingen,namedPlace
Ulm,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Bürgenstock,namedPlace
Ennetbürgen,namedPlace
Nidwalden,First Order Division
Switzerland,Country
an der Strasse nach Vicuna,namedPlace
Elqui,Second Order Division
Chile,Country
Bgwk. Bor,namedPlace
Dalnegorsk,namedPlace
Primorje,namedPlace
Russia,namedPlace
Bauhaus,namedPlace
Nentersnausen,namedPlace
Hersfeld-Rotenburg,Second Order Division
Hesse,namedPlace
Germany,Country
KW Oberaar,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Spoil heap der Mine Lengenbach,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Simplontunnel,namedPlace
Valais,First Order Division
Switzerland,Country
Yates Mine,namedPlace
Otter Lake,namedPlace
Outaouais,namedPlace
Québec,First Order Division
Canada,Country
Ipira,Second Order Division
Bahia,First Order Division
Brazil,Country
Rossblei-Mine,namedPlace
Eschachalp (Eschachboden),namedPlace
Schladming,namedPlace
Steiermark,First Order Division
Austria,Country
Mine de Collioux,namedPlace
Saint-Luc,namedPlace
Valais,First Order Division
Switzerland,Country
Pizzo Penca,namedPlace
Prato-Sornico,namedPlace
Ticino,First Order Division
Switzerland,Country
Val Lavizzara,namedPlace
Prato-Sornico,namedPlace
Ticino,First Order Division
Switzerland,Country
Cala,namedPlace
Chironico,namedPlace
Ticino,First Order Division
Switzerland,Country
Val Lareccio,namedPlace
S,namedPlace
Pratello,namedPlace
Ticino,First Order Division
Switzerland,Country
Piano di Sobrio,namedPlace
Chironico,namedPlace
Ticino,First Order Division
Switzerland,Country
Uomo,namedPlace
Val di Prato,namedPlace
Prato-Sornico,namedPlace
Ticino,First Order Division
Switzerland,Country
Pizzo Rüscada,namedPlace
Fusio,namedPlace
Ticino,First Order Division
Switzerland,Country
Vallone di Gribbio,namedPlace
Chironico,namedPlace
Ticino,First Order Division
Switzerland,Country
Quartino,namedPlace
Magadino,namedPlace
Ticino,First Order Division
Switzerland,Country
Nideri Weid,namedPlace
Nunningen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Siculiana Marina (Racalmuto),namedPlace
Agrigento,First Order Division
Sizilien,namedPlace
Italy,Country
Mine Clara,namedPlace
